ac_number,party_21,share_21,turnout_21,reserved,region,party_26,share_26,constituency,district,region_master,margin_21,mpct_21,margin_26,mpct_26,flipped,margin_change
53,AIADMK,45.38,78.5,GEN,North,TVK,38.83,Krishnagiri,Krishnagiri,North,794,0.38,18844,8.19,True,18050
54,AIADMK,45.87,81.31,GEN,North,DMK,33.55,Veppanahalli,Krishnagiri,North,3054,1.49,138,0.06,True,-2916
55,DMK,47.65,70.09,GEN,North,AIADMK,39.55,Hosur,Krishnagiri,North,12367,4.98,27803,10.01,True,15436
56,CPI,62.18,77.06,GEN,North,CPI,38.02,Thalli,Krishnagiri,North,56226,28.98,5240,2.55,False,-50986
57,AIADMK,53.28,87.37,GEN,North,AIADMK,45.64,Palacode,Dharmapuri,North,28100,13.6,39042,17.33,False,10942
58,PMK,50.46,85.0,GEN,North,TVK,35.53,Pennagaram,Dharmapuri,North,21186,10.07,3165,1.38,True,-18021
59,PMK,48.6,79.69,GEN,North,PMK,39.28,Dharmapuri,Dharmapuri,North,26860,12.36,20896,8.76,False,-5964
60,AIADMK,51.81,82.15,GEN,North,AIADMK,43.03,Pappireddippatti,Dharmapuri,North,36943,16.72,33114,13.99,False,-3829
61,AIADMK,49.89,78.46,SC,North,AIADMK,34.32,Harur,Dharmapuri,North,30362,15.29,3329,1.51,False,-27033
62,DMK,48.26,80.66,SC,North,AIADMK,36.15,Chengam,Tiruvannamalai,North,11570,5.17,13278,5.47,True,1708
63,DMK,66.02,71.69,GEN,North,DMK,40.11,Tiruvannamalai,Tiruvannamalai,North,94673,45.33,2455,1.12,False,-92218
64,DMK,51.34,79.35,GEN,North,AIADMK,41.18,Kilpennathur,Tiruvannamalai,North,26787,13.14,30465,13.86,True,3678
65,DMK,47.92,80.36,GEN,North,AIADMK,41.86,Kalasapakkam,Tiruvannamalai,North,9222,4.69,26740,12.49,True,17518
66,AIADMK,48.38,82.33,GEN,North,TVK,32.1,Polur,Tiruvannamalai,North,9725,4.81,227,0.11,True,-9498
67,AIADMK,46.5,79.84,GEN,North,AIADMK,33.34,Arani,Tiruvannamalai,North,3128,1.41,5631,2.45,False,2503
